"TERM","colors","cup","bold","setaf"
"prism12-m-w","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"prism12-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"prism14","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"prism14-m","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"prism14-m-w","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"prism14-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"prism2","-1","$'\v%p1%\' \'%+%c\020%p2%{10}%/%{16}%*%p2%{10}%m%+%Pc%?%{17}%gc%=%{19}%gc%=%|%gc%!%|%t%{1}%gc%+%c%{8}%e%gc%;%c'","''","''"
"prism4","-1","$'\v%p1%\' \'%+%c\020%p2%{10}%/%{16}%*%p2%{10}%m%+%Pc%?%{17}%gc%=%{19}%gc%=%|%gc%!%|%t%{1}%gc%+%c%{8}%e%gc%;%c'","''","''"
"prism5","-1","$'\v%p1%\' \'%+%c\020%p2%{10}%/%{16}%*%p2%{10}%m%+%Pc%?%{17}%gc%=%{19}%gc%=%|%gc%!%|%t%{1}%gc%+%c%{8}%e%gc%;%c'","''","''"
"prism7","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"prism8","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"prism8-w","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"prism9","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"prism9-8","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"prism9-8-w","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"prism9-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pro350","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"ps300","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"psterm","-1","$'\E%p1%d;%p2%d;'","$'\EOd'","''"
"psterm-80x24","-1","$'\E%p1%d;%p2%d;'","$'\EOd'","''"
"psterm-90x28","-1","$'\E%p1%d;%p2%d;'","$'\EOd'","''"
"psterm-96x48","-1","$'\E%p1%d;%p2%d;'","$'\EOd'","''"
"psterm-fast","-1","$'\004%p1%d;%p2%d;'","$'\017d'","''"
"pt100","-1","$'\E0%p1%\'!\'%+%c%p2%\'!\'%+%c'","''","''"
"pt100w","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"pt210","-1","''","''","''"
"pt250","-1","$'\E0%p1%\'!\'%+%c%p2%\'!\'%+%c'","''","''"
"pt250w","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"pty","-1","$'\EG%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"putty","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"putty+fnkeys","-1","''","''","''"
"putty+fnkeys+esc","-1","''","''","''"
"putty+fnkeys+linux","-1","''","''","''"
"putty+fnkeys+sco","-1","''","''","''"
"putty+fnkeys+vt100","-1","''","''","''"
